contract_address,0x02b5453d92b730f29a86a0d5ef6e930c4cf8860b,0x0642026e7f0b6ccac5925b4e7fa61384250e1701,0x0ab87046fbb341d058f17cbc4c1133f25a20a52f,0x0f2d719407fdbeff09d87557abb7232601fd9f29,0x18f00d0d352f14ef0b94bbddbf507b12705fb316,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0x1b84765de8b7566e4ceaf4d0fd3c5af52d3dde4f,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x4a41775da459b38e641141e4c696df10ec1f4983,0x4a86c01d67965f8cb3d0aaa2c655705e64097c31,0x4eb8b4c65d8430647586cf44af4bf23ded2bb794,0x4f14cdbd815b79e9624121f564f24685c6b1211b,0x514910771af9ca656af840dff83e8264ecf986ca,0x622236bb180256b6ae1a935dae08dc0356141632,0x6b175474e89094c44da98b954eedeac495271d0f,0x71ab77b7dbb4fa7e017bc15090b2163221420282,0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f,0x853d955acef822db058eb8505911ed77f175b99e,0x98585dfc8d9e7d48f0b1ae47ce33332cf4237d96,0x9ae357521153fb07be6f5792ce7a49752638fbb7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa8d7f5e7c78ed0fa097cc5ec66c1dc3104c9bbeb,0xb753428af26e81097e7fd17f40c88aaa3e04902c,0xbaac2b4491727d78d2b78815144570b9f2fe8899,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,0xdac17f958d2ee523a2206206994597c13d831ec7,0xea12642633b5cf03d9111efb13512d46502a7597
,USD Balance,H2O,Governance OHM,Synapse,Synapse Chain,agEUR,nUSD,Wrapped BTC,ChainPort,SushiSwap LP Token,Frax Price Index Share,Angry Doge,ChainLink Token,Mirror Write Token,Dai Stablecoin,Highstreet token,Stake DAO Token,Frax,New Order,Safe Token,USD Coin,Vesta,Spice,The Doge NFT,Wrapped Ether,Tribe,Tether USD,Synapse Chain
,USDB,H2O,gOHM,SYN,SNC,agEUR,nUSD,WBTC,PORTX,SLP,FPIS,ANFD,LINK,WRITE,DAI,HIGH,SDT,FRAX,NEWO,SAFE,USDC,VSTA,SFI,DOG,WETH,TRIBE,USDT,SYNCH
2021-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.81805245530960,0.0,0.0,0.0
2021-10,0.0,0.0,0.0,1100000,0.0,0.0,7.27595761418343E-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1468.0000000000000,0.0,0.0,0.0,0.0,1667.9083260000000,0.0,0.0,0.0,52.798227121101,0.0,0.0,0.0
2021-11,0.0,0.0,0.0,87719.066447989700000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.02742949544,1468.0000000000000,0.0,0.0,0.0,0.0,10496.516018,0.0,0.0,0.0,87.43725375373100,0.0,5420.657215000000,0.0
2021-12,0.0,0.0,0.0,37719.066447989700000000,0.0,0.0,418432.0688825430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.02742949544,1468.0000000000000,0.0,-1.45519152283669E-11,0.0,0.0,10496.516018,0.0,0.0,0.0,103.77597675197500,240218.22560322700,5420.657215000000,0.0
2022-01,0.0,0.0,7.232406613237790,37719.066447989700000000,0.0,0.0,157375.20775832400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.02742949544,2798.906000000000,0.0,-1.45519152283669E-11,0.0,0.0,0.0,0.0,0.0,675000.0000000000,243.79534774803200,644166.1498137530,-9.09494701772928E-13,0.0
2022-02,0.0,0.0,11.53001756969290,78175.791188297100000000,0.0,0.0,-5.82076609134674E-11,0.0,0.0,0.0,342189.36662656000,0.0,0.0,0.0,546309.6423625190,2855.398699665830,0.0,12704.21726751050,0.0,0.0,0.0,0.0,0.0,835000.0000000000,493.0512427181730,991192.769561718,-9.09494701772928E-13,0.0
2022-03,0.0,0.0,14.856618943057600,88321.136136089300000000,0.0,0.0,75247.36910638510,0.0,0.0,0.0,342189.36662656000,0.0,0.0,0.0,1.16415321826935E-10,2915.398699665830,0.0,1699.9999999999900,0.0,0.0,326885.4759350000,0.0,0.0,880000.0000000000,585.1659828757680,0.0,-9.09494701772928E-13,0.0
2022-04,700.0000000000000,0.0,19.48235449567650,303754.457511328000000000,0.0,0.0,190261.50325599600,0.0,0.0,0.0,342189.36662656000,0.0,0.0,0.0,1.16415321826935E-10,2963.398699665830,90.0,12725.364744879300,36108.583331359800,0.0,325788.4759350000,60.00000000000000,0.35,1120000.0,689.1142388488100,0.0,-9.09494701772928E-13,0.0
2022-05,700.0000000000000,0.0,19.48235449567650,313166.765769011000000000,0.0,0.0,96820.16713003200,0.0,0.0,0.0,342189.36662656000,0.0,0.0,0.0,1.16415321826935E-10,2963.398699665830,90.0,12725.364744879300,36108.583331359800,0.0,-1.16415321826935E-10,60.00000000000000,0.35,1120000.0,689.1142388488100,0.0,7698.553761000000,0.0
2022-06,700.0000000000000,0.0,19.48235449567650,313166.765769011000000000,0.0,0.0,-1.45519152283669E-10,0.0,0.0,0.0,342189.36662656000,0.0,0.0,0.0,1.16415321826935E-10,2963.398699665830,90.0,12725.364744879300,36108.583331359800,0.0,-1.16415321826935E-10,60.00000000000000,0.35,1120000.0,689.1142388488100,0.0,7698.553761000000,0.0
2022-07,700.0000000000000,0.0,29.23789059285710,305066.765769011000000000,0.0,0.0,-1.45519152283669E-10,0.0110053,0.0,0.0,342189.36662656000,0.0,0.0,0.0,74531.30452401960,3001.998699665830,90.0,2066.7079182366200,36108.583331359800,0.0,9482.469702999890,60.00000000000000,0.35,1205000.0000000000,883.8788672626030,0.0,281618.109596,0.0
2022-08,700.0000000000000,0.0,29.23789059285710,297496.765769011000000000,0.0,0.0,-1.45519152283669E-10,0.0110053,0.0,0.0,342189.36662656000,0.0,0.0,0.0,50531.30452401960,3001.998699665830,90.0,2066.7079182366200,36108.583331359800,1769276.0000000000,9482.469702999890,60.00000000000000,0.35,1205000.0000000000,883.8788672626030,0.0,129193.50959600000,0.0
2022-09,820.0000000000000,60.00000000000000,35.665212798414700,227310.765769011000000000,0.0,60.00000000000000,11676.694518280200,0.08293763,0.0,0.0,342189.36662656000,0.0,0.0,0.0,36912.32171706130,3053.998699665830,5340.000000000000,8605.83674689833,125110.5648567940,1769276.0000000000,64055.170698999900,90.0,1.75,1445000.0,1002.7308889083900,0.0,26277.46517000000,0.0
2022-10,820.0000000000000,60.00000000000000,24.26521279841470,250066.736093928000000000,0.0,60.00000000000000,11316.694518280200,0.08293763,0.0,0.0,342189.36662656000,0.0,0.0,0.0,6912.321717061320,3053.998699665830,5340.000000000000,8605.83674689833,125110.5648567940,1769276.0000000000,4055.1706989998900,90.0,1.75,1445000.0,1002.7308889083900,0.0,6277.465169999980,0.0
2022-11,820.0000000000000,60.00000000000000,1.6652127984147100,180066.736093928000000000,0.0,60.00000000000000,-3.05590219795704E-10,0.08293763,0.0,0.0,342189.36662656000,0.0,0.0,0.0,6912.321717061320,3053.998699665830,5340.000000000000,8605.83674689833,125110.5648567940,1769276.0000000000,4055.1706989998900,90.0,1.75,1445000.0,1002.7308889083900,0.0,6277.465169999980,0.0
2022-12,860.0000000000000,60.00000000000000,10.685105786599100,71066.736093928200000000,0.0,72.00000000000000,50053.68445403800,0.09331992,0.0,16802.218477080100,342189.36662656000,0.0,1.6,0.0,11449.024376592200,3115.5795803133700,5913.51582397135,8905.83674689833,159010.56485679400,1769276.0000000000,36400.442751999900,90.0,1.75,1830000.0,1107.7006239148600,0.0,29599.428833000000,0.0
2023-01,860.0000000000000,60.00000000000000,10.685105786599100,983340.321639144000000000,0.0,72.00000000000000,204610.23004263600,0.09331992,0.0,16802.218477080100,342189.36662656000,0.0,1.6,0.0,11449.024376592200,3115.5795803133700,5913.51582397135,26026.607486865500,159010.56485679400,1769276.0000000000,-1.16415321826935E-10,90.0,1.75,1830000.0,1107.7006239148600,0.0,-1.81898940354586E-11,8000000.000000000
2023-02,860.0000000000000,60.00000000000000,13.47975611883250,983340.321639144000000000,324778534.324556,146.09760431526400,1096025.443549650,0.09781692,0.0,16802.218477080100,342189.36662656000,0.0,1.6,0.0,14071.471813559000,3123.5795803133700,5913.51582397135,26226.607486865500,203110.5648567940,1769276.0000000000,8779.630132999880,90.0,1.75,1930000.0,1106.8788672626000,0.0,5850.145190999980,8000000.000000000
2023-03,860.0000000000000,60.00000000000000,13.47975611883250,343984.982203078000000000,324778534.324556,146.09760431526400,796025.443549647,0.09781692,0.0,16802.218477080100,342189.36662656000,0.0,1.6,0.0,14071.471813559000,3123.5795803133700,5913.51582397135,26226.607486865500,203110.5648567940,1769276.0000000000,8779.630132999880,90.0,1.75,1930000.0,1275.1276246239500,0.0,5850.145190999980,8000000.000000000
2023-04,860.0000000000000,60.00000000000000,13.47975611883250,203983.982203078000000000,324778534.324556,146.09760431526400,923530.9134480910,0.09781692,0.0,16802.218477080100,342189.36662656000,0.0,1.6,0.0,14071.471813559000,3123.5795803133700,5913.51582397135,26226.607486865500,203110.5648567940,1769276.0000000000,8779.630132999880,90.0,1.75,1930000.0,1275.1276246239500,0.0,5850.145190999980,8000000.000000000
2023-05,860.0000000000000,60.00000000000000,13.47975611883250,150333.982203078000000000,324778534.324556,146.09760431526400,923530.9134480910,0.09781692,0.0,16802.218477080100,342189.36662656000,0.0,1.6,0.0,14071.471813559000,3123.5795803133700,5913.51582397135,26226.607486865500,203110.5648567940,1769276.0000000000,465037.03123500000,90.0,1.75,1930000.0,1430.9621729622500,0.0,5850.145190999980,8000000.000000000
2023-06,860.0000000000000,60.00000000000000,18.038458868666000,10333.982203078400000000,324778534.324556,158.09760431526400,1234180.749777890,0.11184635,0.0,16802.218477080100,342189.36662656000,0.0,3.2,0.0,14401.471813559000,3155.5795803133700,5913.51582397135,26526.607486865500,279610.56485679400,1769276.0000000000,51524.32383000000,90.0,1.75,2200000.0,1486.2696604974400,0.0,6772.948454999980,8000000.000000000
2023-07,860.0000000000000,60.00000000000000,18.038458868666000,35722.468779065000000000,324778534.324556,158.09760431526400,934180.749777893,0.11184635,0.0,16802.218477080100,342189.36662656000,120000.0,3.2,0.0,14401.471813559000,3155.5795803133700,5913.51582397135,26526.607486865500,279610.56485679400,1769276.0000000000,51524.32383000000,90.0,1.75,2200000.0,1486.2696604974400,0.0,6772.948454999980,8000000.000000000